,mean,std,min,max,median
0,0.70100015,2.484162,-6.9635777,9.503149,0.578699
1,2.1624198,3.490216,-7.527533,18.88576,1.6608305
2,1.625749,2.6248302,-5.813931,12.97487,1.3985007
3,1.8635662,3.0352876,-8.822342,12.795336,1.7592463
4,2.2250373,1.6744173,-3.78245,9.780398,2.1645093
5,2.0055058,2.7627394,-8.30102,9.042985,2.6643686
6,2.1116202,2.4885526,-4.3019814,12.227011,1.542834
7,2.0157528,2.4893315,-5.2777333,13.630386,1.5449169
8,1.9966215,1.5647347,-3.9706028,7.041729,2.1060991
9,1.9912221,2.1426954,-5.9664764,10.56618,1.8080573
10,1.993604,1.0038981,-1.0367544,5.8187084,1.9735532
11,1.9176425,2.364788,-4.823657,12.099548,1.765508
12,1.9226114,1.1289026,-2.4330819,5.850443,1.9623551
13,1.9694622,1.0329603,-1.3958416,5.9575753,1.9432306
14,1.9849275,1.421863,-3.376431,8.174409,1.9375849
15,1.9657469,2.1148202,-4.703774,8.4324875,2.0074036
16,1.9975725,1.6669601,-3.3496363,9.296666,1.962734
17,2.0307138,1.2831303,-2.943658,6.482678,2.0366707
18,2.037936,1.9905378,-4.031774,10.164231,1.7401671
19,2.0274107,1.4570551,-3.922031,6.6396947,2.1235445
20,2.0185685,1.3084563,-3.4659822,7.516527,1.993629
21,2.015704,1.181297,-2.1322718,6.907747,1.9642483
22,2.0172741,1.8392261,-2.8105772,6.7574224,2.013683
23,2.0522912,1.1280849,-1.919176,6.622073,2.0625148
24,2.0469472,1.0671343,-1.3736485,6.5552654,2.0063062
25,2.090724,1.0046175,-1.5909965,5.2460785,2.1003625
26,2.0232043,1.0617684,-3.1046991,5.6333103,2.0482817
27,2.021158,0.98734874,-1.2198253,6.4040837,1.9912975
28,2.0801659,1.5488726,-2.3345423,6.2519794,2.0859447
29,2.1277769,0.91501445,-1.0180016,6.284265,2.0829735
30,0.03716568,1.9947852,-4.194889,7.5016,-0.43304226
31,0.006735773,2.807591,-6.40998,8.670315,-0.6796549
32,0.1040383,3.5152671,-6.832468,12.062051,-0.781408
33,0.07347633,2.1330245,-6.8304477,7.6277523,-0.014102042
34,-0.0017622648,1.6590157,-4.980819,6.4643927,-0.29070336
35,0.04401959,2.6866403,-4.910018,10.491425,-0.67405796
36,0.04693957,2.3934975,-5.4130316,7.688921,-0.76208913
37,0.050627105,2.7459228,-5.0669103,10.205084,-0.77534014
38,0.026816247,1.5495642,-5.4734364,6.305003,0.041504167
39,0.032359768,5.163425,-8.531308,21.70657,-1.3520792
40,0.00034220898,0.9223681,-2.7837088,3.3442037,-0.080586985
41,0.034562044,2.515958,-5.9112144,9.901878,-0.63554144
42,0.0001978915,1.3877782,-2.7691238,5.9047313,-0.3342244
43,0.048321042,1.2237419,-3.2720072,4.049954,0.061989248
44,0.051029872,1.5874325,-3.7690635,6.303106,-0.14086989
45,0.04663048,2.0437374,-4.763853,6.8758407,-0.29991663
46,0.047200494,1.8478198,-5.843675,6.71015,-0.106116906
47,0.053975467,1.1464738,-3.2145846,4.2219768,0.04672333
